"","datasetID","verbatimIdentification","Jaccard_dissim","Jaccard_sim","a","b","c","d","Total_Ncells_samp"
"1",5,"Picus canus",0.343696027633851,0.656303972366149,380,146,53,49,628
"2",5,"Sylvia borin",0.127214170692432,0.872785829307568,542,39,40,7,628
"3",5,"Fulica atra",0.202312138728324,0.797687861271676,414,19,86,109,628
"4",5,"Carduelis carduelis",0.0159489633173844,0.984051036682616,617,4,6,1,628
"5",5,"Columba livia f. domestica",0.166666666666667,0.833333333333333,385,77,0,166,628
"6",5,"Dendrocopos minor",0.341549295774648,0.658450704225352,374,71,123,60,628
"7",5,"Turdus viscivorus",0.0721153846153846,0.927884615384615,579,38,7,4,628
"8",5,"Certhia familiaris",0.0942492012779552,0.905750798722045,567,32,27,2,628
"9",5,"Corvus corax",0.123003194888179,0.876996805111821,549,60,17,2,628
"10",5,"Regulus regulus",0.0808580858085809,0.919141914191419,557,23,26,22,628
"11",5,"Corvus corone corone",0.133177570093458,0.866822429906542,371,23,34,200,628
"12",5,"Sturnus vulgaris",0.0111464968152867,0.988853503184713,621,3,4,0,628
"13",5,"Gallinula chloropus",0.301255230125523,0.698744769874477,334,56,88,150,628
"14",5,"Regulus ignicapillus",0.205479452054795,0.794520547945205,464,98,22,44,628
"15",5,"Carduelis cannabina",0.0595813204508857,0.940418679549114,584,19,18,7,628
"16",5,"Columba palumbus",0.00477707006369432,0.995222929936306,625,2,1,0,628
"17",5,"Passer montanus",0.0681818181818182,0.931818181818182,574,24,18,12,628
"18",5,"Jynx torquilla",0.359019264448336,0.640980735551664,366,139,66,57,628
"19",5,"Turdus merula",0.00159235668789814,0.998407643312102,627,1,0,0,628
"20",5,"Fringilla coelebs",0,1,628,0,0,0,628
"21",5,"Glaucidium passerinum",0.53968253968254,0.46031746031746,174,132,72,250,628
"22",5,"Parus montanus",0.274822695035461,0.725177304964539,409,72,83,64,628
"23",5,"Streptopelia decaocto",0.0549273021001615,0.945072697899838,585,9,25,9,628
"24",5,"Emberiza citrinella",0.00477707006369432,0.995222929936306,625,0,3,0,628
"25",5,"Corvus monedula",0.483483483483483,0.516516516516517,172,48,113,295,628
"26",5,"Ciconia ciconia",0.281059063136456,0.718940936863544,353,41,97,137,628
"27",5,"Sylvia atricapilla",0.00159235668789814,0.998407643312102,627,1,0,0,628
"28",5,"Milvus migrans",0.7875,0.2125,51,128,61,388,628
"29",5,"Luscinia megarhynchos",0.34108527131783,0.65891472868217,255,71,61,241,628
"30",5,"Milvus milvus",0.612466124661247,0.387533875338753,143,191,35,259,628
"31",5,"Muscicapa striata",0.119935170178282,0.880064829821718,543,35,39,11,628
"32",5,"Falco tinnunculus",0.0271132376395534,0.972886762360447,610,3,14,1,628
"33",5,"Corvus corone cornix",0.17989417989418,0.82010582010582,465,31,71,61,628
"34",5,"Rallus aquaticus",0.446866485013624,0.553133514986376,203,87,77,261,628
"35",5,"Sitta europaea",0.00636942675159236,0.993630573248408,624,1,3,0,628
"36",5,"Garrulus glandarius",0.00636942675159236,0.993630573248408,624,3,1,0,628
"37",5,"Cinclus cinclus",0.394849785407725,0.605150214592275,282,60,124,162,628
