"","skim_type","skim_variable","datasetID","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"1","character","verbatimIdentification","5",0,1,9,29,0,204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","character","verbatimIdentification","6",0,1,9,32,0,238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","character","verbatimIdentification","13",0,1,9,29,0,186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","character","verbatimIdentification","26",0,1,9,29,0,420,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","character","scientificName","5",0,1,9,29,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","character","scientificName","6",0,1,9,39,0,238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","character","scientificName","13",0,1,9,29,0,186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","character","scientificName","26",0,1,9,29,0,420,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","factor","samplingPeriodID","5",0,1,NA,NA,NA,NA,NA,FALSE,1,"1: 204, 2: 0",NA,NA,NA,NA,NA,NA,NA,NA
"10","factor","samplingPeriodID","6",0,1,NA,NA,NA,NA,NA,FALSE,1,"1: 238, 2: 0",NA,NA,NA,NA,NA,NA,NA,NA
"11","factor","samplingPeriodID","13",0,1,NA,NA,NA,NA,NA,FALSE,1,"1: 186, 2: 0",NA,NA,NA,NA,NA,NA,NA,NA
"12","factor","samplingPeriodID","26",0,1,NA,NA,NA,NA,NA,FALSE,1,"1: 420, 2: 0",NA,NA,NA,NA,NA,NA,NA,NA
"13","factor","Family1","5",2,0.990196078431373,NA,NA,NA,NA,NA,FALSE,51,"Ana: 14, Fri: 12, Mus: 12, Acc: 11",NA,NA,NA,NA,NA,NA,NA,NA
"14","factor","Family1","6",3,0.987394957983193,NA,NA,NA,NA,NA,FALSE,48,"Par: 33, Ana: 20, Pas: 15, Lar: 12",NA,NA,NA,NA,NA,NA,NA,NA
"15","factor","Family1","13",3,0.983870967741935,NA,NA,NA,NA,NA,FALSE,54,"Ana: 13, Ard: 13, Mus: 11, Emb: 9",NA,NA,NA,NA,NA,NA,NA,NA
"16","factor","Family1","26",3,0.992857142857143,NA,NA,NA,NA,NA,FALSE,71,"Ana: 36, Acc: 27, Sco: 25, Lar: 24",NA,NA,NA,NA,NA,NA,NA,NA
"17","factor","Order1","5",2,0.990196078431373,NA,NA,NA,NA,NA,FALSE,18,"Pas: 96, Cha: 18, Ans: 14, Acc: 11",NA,NA,NA,NA,NA,NA,NA,NA
