"","verbatimIdentification","datasetID"
"1","Passer domesticus",6
"2","Sturnus vulgaris",6
"3","Phasianus colchicus",6
"4","Cygnus olor",6
"5","Nandayus nenday",6
"6","Myiopsitta monachus",6
"7","Perdix perdix",6
"8","Columba livia f. domestica",5
"9","Columba livia f.domestica",5
"10","Phasianus colchicus",5
"11","Syrmaticus reevesii",5
"12","Psittacula krameri",13
"13","Streptopelia decaocto",13
"14","Zosterops japonicus",13
"15","Pica pica",13
"16","Acridotheres cristatellus",13
"17","Amandava amandava",13
"18","Bambusicola thoracicus",13
"19","Leiothrix lutea",13
"20","Melopsittacus undulatus",13
"21","Paroaria coronata",13
"22","Anser caerulescens",26
"23","Psittacula krameri",26
"24","Alectoris chukar",26
"25","Athene noctua",26
"26","Columba livia",26
"27","Passer hispaniolensis",26
"28","Cygnus olor",26
"29","Phasianus colchicus",26
"30","Amandava amandava",26
"31","Alectoris barbara",26
"32","Acridotheres tristis",26
"33","Estrilda astrild",26
"34","Aix galericulata",26
"35","Alectoris graeca",26
"36","Alectoris rufa",26
"37","Alopochen aegyptiaca",26
"38","Anser indicus",26
"39","Branta canadensis",26
"40","Branta leucopsis",26
"41","Chloris chloris",26
"42","Cygnus atratus",26
"43","Myiopsitta monachus",26
"44","Oxyura jamaicensis",26
"45","Syrmaticus reevesii",26
"46","Threskiornis aethiopicus",26
