;variable;group1;group2;n1;n2;statistic;p;p.adj;p.adj.signif
1;AOO;5;6;204;238;-2.198;0.028;0.042;*
2;AOO;5;13;204;211;-0.184;0.854;0.854;ns
3;AOO;5;26;204;420;16.428;0.000;0.000;****
4;AOO;6;13;238;211;2.027;0.043;0.051;ns
5;AOO;6;26;238;420;19.864;0.000;0.000;****
6;AOO;13;26;211;420;16.828;0.000;0.000;****
7;AlphaSR_sp;5;6;203;233;-7.950;0.000;0.000;****
8;AlphaSR_sp;5;13;203;209;-12.465;0.000;0.000;****
9;AlphaSR_sp;5;26;203;413;9.426;0.000;0.000;****
10;AlphaSR_sp;6;13;233;209;-4.882;0.000;0.000;****
11;AlphaSR_sp;6;26;233;413;19.177;0.000;0.000;****
12;AlphaSR_sp;13;26;209;413;23.988;0.000;0.000;****
13;Beak.Width;5;6;202;235;-0.049;0.961;0.961;ns
14;Beak.Width;5;13;202;208;0.166;0.869;0.961;ns
15;Beak.Width;5;26;202;417;0.729;0.466;0.961;ns
16;Beak.Width;6;13;235;208;0.222;0.825;0.961;ns
17;Beak.Width;6;26;235;417;0.824;0.410;0.961;ns
18;Beak.Width;13;26;208;417;0.543;0.587;0.961;ns
19;BetaSR_sp;5;6;203;233;12.171;0.000;0.000;****
20;BetaSR_sp;5;13;203;209;17.170;0.000;0.000;****
21;BetaSR_sp;5;26;203;413;22.147;0.000;0.000;****
22;BetaSR_sp;6;13;233;209;5.495;0.000;0.000;****
23;BetaSR_sp;6;26;233;413;8.908;0.000;0.000;****
24;BetaSR_sp;13;26;209;413;2.431;0.015;0.015;*
25;D_AOO_a;5;6;204;238;-2.477;0.013;0.016;*
26;D_AOO_a;5;13;204;211;-7.873;0.000;0.000;****
27;D_AOO_a;5;26;204;420;-3.335;0.001;0.001;**
28;D_AOO_a;6;13;238;211;-5.676;0.000;0.000;****
29;D_AOO_a;6;26;238;420;-0.595;0.552;0.552;ns
30;D_AOO_a;13;26;211;420;5.788;0.000;0.000;****
31;Dist_centroid_to_COG;5;6;203;233;6.602;0.000;0.000;****
32;Dist_centroid_to_COG;5;13;203;209;15.244;0.000;0.000;****
33;Dist_centroid_to_COG;5;26;203;413;25.493;0.000;0.000;****
34;Dist_centroid_to_COG;6;13;233;209;9.114;0.000;0.000;****
35;Dist_centroid_to_COG;6;26;233;413;18.934;0.000;0.000;****
36;Dist_centroid_to_COG;13;26;209;413;8.046;0.000;0.000;****
37;GammaSR;5;6;203;233;15.215;0.000;0.000;****
38;GammaSR;5;13;203;209;7.152;0.000;0.000;****
39;GammaSR;5;26;203;413;29.934;0.000;0.000;****
40;GammaSR;6;13;233;209;-7.936;0.000;0.000;****
41;GammaSR;6;26;233;413;13.487;0.000;0.000;****
42;GammaSR;13;26;209;413;21.924;0.000;0.000;****
43;GlobRangeSize_km2;5;6;204;236;-8.406;0.000;0.000;****
44;GlobRangeSize_km2;5;13;204;211;-5.704;0.000;0.000;****
45;GlobRangeSize_km2;5;26;204;420;-5.338;0.000;0.000;****
46;GlobRangeSize_km2;6;13;236;211;2.570;0.010;0.012;*
47;GlobRangeSize_km2;6;26;236;420;4.279;0.000;0.000;****
48;GlobRangeSize_km2;13;26;211;420;1.239;0.215;0.215;ns
49;Hand-Wing.Index;5;6;202;235;-2.088;0.037;0.055;ns
50;Hand-Wing.Index;5;13;202;208;-0.600;0.549;0.549;ns
51;Hand-Wing.Index;5;26;202;417;2.862;0.004;0.008;**
52;Hand-Wing.Index;6;13;235;208;1.482;0.138;0.166;ns
