"","verbatimIdentification","scientificName","ScientificName2010","ScientificName2018","BirdTree","tip.label"
"1","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia_borin"
"2","Columba oenas","Columba oenas","Columba oenas","Columba oenas","Columba oenas","Columba_oenas"
"3","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea","Lullula_arborea"
"4","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus_albicilla"
"5","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula_parva"
"6","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta_europaea"
"7","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta_europaea"
"8","Fulica atra","Fulica atra","Fulica atra","Fulica atra","Fulica atra","Fulica_atra"
"9","Podiceps cristatus","Podiceps cristatus","Podiceps cristatus","Podiceps cristatus","Podiceps cristatus","Podiceps_cristatus"
"10","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola_rubetra"
"11","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus_glandarius"
"12","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus_glandarius"
"13","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus_glandarius"
"14","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza_schoeniclus"
"15","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus_pilaris"
"16","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus_cinclus"
"17","Columba livia f.domestica","Columba livia","Columba livia","Columba livia","Columba livia","Columba_livia"
"18","Columba livia f. domestica","Columba livia","Columba livia","Columba livia","Columba livia","Columba_livia"
"19","Columba livia","Columba livia","Columba livia","Columba livia","Columba livia","Columba_livia"
"20","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla_cinerea"
"21","Corvus corax","Corvus corax","Corvus corax","Corvus corax","Corvus corax","Corvus_corax"
"22","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda_arvensis"
"23","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda japonica","Alauda_japonica"
"24","Dendrocopos minor","Dryobates minor","Dendrocopos minor","Dryobates minor","Dendrocopos minor","Dendrocopos_minor"
"25","Dryobates minor","Dryobates minor","Dendrocopos minor","Dryobates minor","Dendrocopos minor","Dendrocopos_minor"
"26","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula_albicollis"
"27","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa_striata"
"28","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella_fluviatilis"
"29","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius_dubius"
"30","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter_gentilis"
"31","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo_buteo"
"32","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo_buteo"
"33","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo buteo","Buteo_buteo"
"34","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo","Bubo bubo","Bubo_bubo"
"35","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus_philomelos"
"36","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla_alba"
"37","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus_palustris"
"38","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus","Columba_palumbus"
"39","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus_olor"
"40","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus pratensis","Anthus_pratensis"
"41","Sylvia communis","Curruca communis","Sylvia communis","Sylvia communis","Sylvia communis","Sylvia_communis"
"42","Picus viridis","Picus viridis","Picus viridis","Picus viridis","Picus viridis","Picus_viridis"
"43","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius_funereus"
"44","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla_coelebs"
"45","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus_merula"
"46","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus_merula"
"47","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus_merula"
"48","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus_merula"
"49","Sylvia curruca","Curruca curruca","Sylvia curruca","Sylvia curruca","Sylvia althaea","Sylvia_althaea"
"50","Sylvia curruca","Curruca curruca","Sylvia curruca","Sylvia curruca","Sylvia curruca","Sylvia_curruca"
"51","Sylvia curruca","Curruca curruca","Sylvia curruca","Sylvia curruca","Sylvia minula","Sylvia_minula"
"52","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus_vulgaris"
"53","Carduelis spinus","Spinus spinus","Carduelis spinus","Spinus spinus","Carduelis spinus","Carduelis_spinus"
"54","Spinus spinus","Spinus spinus","Carduelis spinus","Spinus spinus","Carduelis spinus","Carduelis_spinus"
"55","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus trochilus","Phylloscopus_trochilus"
"56","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix_aluco"
"57","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix_aluco"
"58","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina","Aythya ferina","Aythya_ferina"
"59","Corvus corone corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus_corone"
"60","Corvus corone cornix","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus_corone"
"61","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus_corone"
"62","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Phoenicurus_phoenicurus"
"63","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia_nigra"
"64","Phoenicurus ochruros","Phoenicurus ochruros","Phoenicurus ochruros","Phoenicurus ochruros","Phoenicurus ochruros","Phoenicurus_ochruros"
"65","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia_curvirostra"
"66","Larus ridibundus","Larus ridibundus","Larus ridibundus","Larus ridibundus","Larus ridibundus","Larus_ridibundus"
"67","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea cinerea","Ardea_cinerea"
"68","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula","Corvus_monedula"
"69","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis_carduelis"
"70","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Carduelis_carduelis"
"71","Passer montanus","Passer montanus","Passer montanus","Passer montanus","Passer montanus","Passer_montanus"
