"","datasetID","scalingID","Total_Ncells","Total_Ncells_samp","Total_area_samp"
"1",5,1,678,628,83907.576281556
"2",5,2,188,176,88579.0854742782
"3",5,4,55,54,90435.5525181787
"4",5,8,18,18,90569.1653180064
"5",5,16,6,6,90569.1653180064
"6",5,32,2,2,90569.1653180064
"7",5,64,1,1,90569.1653180064
"8",6,1,5335,5319,130516.196957301
"9",6,2,1398,1396,130816.315936254
"10",6,4,386,384,130816.315936001
"11",6,8,113,112,130841.336455178
"12",6,16,37,37,130866.348679585
"13",6,32,13,13,130866.348679604
"14",6,64,5,5,130866.3486796
"15",6,128,2,2,130866.3486796
"16",13,1,1471,1184,367192.461293838
"17",13,2,478,376,371251.991970064
"18",13,4,173,124,372569.075332255
"19",13,8,67,43,372929.959614453
"20",13,16,26,17,376261.421765663
"21",13,32,13,7,376281.550542607
"22",13,64,4,3,377410.844185378
"23",13,128,1,1,377474.594167928
"24",26,1,5186,2821,5909173.29942184
"25",26,2,1411,810,6074676.71301502
"26",26,4,383,231,6280705.90344082
"27",26,8,168,106,6541910.45582744
"28",26,16,41,30,7455500.63470074
"29",26,32,13,10,9873881.93317405
"30",26,64,6,5,10663453.5562773
"31",26,128,1,1,11220551.0444432
