"","datasetID","verbatimIdentification","samplingPeriodID","sp_sampling_repeats"
"1",5,"Pandion haliaetus",2,1
"2",5,"Egretta alba",2,1
"3",5,"Motacilla citreola",2,1
"4",5,"Gavia arctica",2,1
"5",5,"Tadorna tadorna",2,1
"6",5,"Lanius senator",1,1
"7",5,"Anas penelope",2,1
"8",5,"Coracius garrulus",1,1
"9",5,"Falco vespertinus",1,1
"10",5,"Porzana pusilla",2,1
"11",5,"Chlidonias hybridus",2,1
"12",5,"Syrmaticus reevesii",2,1
"13",5,"Acrocephalus paludicola",2,1
"14",5,"Lanius minor",1,1
"15",5,"Mergus albellus",2,1
"16",5,"Burhinus oedicnemus",1,1
"17",5,"Otis tarda",1,1
"18",5,"Sterna albifrons",2,1
"19",5,"Aquila heliaca",2,1
"20",6,"Tyrannus verticalis",2,1
"21",6,"Falco columbarius",2,1
"22",6,"Phalaropus tricolor",2,1
"23",6,"Grus canadensis",2,1
"24",6,"Cygnus buccinator",2,1
"25",6,"Streptopelia decaocto",2,1
"26",6,"Euphagus cyanocephalus",1,1
"27",6,"Pelecanus erythrorhynchos",2,1
"28",6,"Vermivora pinus x V. chrysoptera",2,1
"29",6,"Chlidonias leucopterus",2,1
"30",6,"Coragyps atratus",2,1
"31",6,"Aythya marila",1,1
"32",6,"Bucephala albeola",1,1
"33",6,"Nandayus nenday",1,1
"34",6,"Plegadis chihi",1,1
"35",6,"Ammodramus nelsoni",2,1
"36",6,"Somateria mollissima",2,1
"37",13,"Otus elegans",2,1
"38",13,"Acridotheres cristatellus",2,1
"39",13,"Pericrocotus divaricatus tegimae",2,1
"40",13,"Gorsachius melanolophus",2,1
"41",13,"Ardeola bacchus",2,1
"42",13,"Rallina eurizonoides",2,1
"43",13,"Sterna fuscata",1,1
"44",13,"Sterna anaethetus",2,1
"45",13,"Anous stolidus",2,1
"46",13,"Turdus pallidus",2,1
"47",13,"Lonchura malacca",1,1
"48",13,"Lonchura punctulata",2,1
"49",13,"Lonchura striata",2,1
"50",13,"Gallirallus okinawae",2,1
"51",13,"Phoenicurus auroreus",2,1
"52",13,"Sterna bergii",1,1
"53",13,"Leiothrix lutea",2,1
"54",13,"Cygnus olor",2,1
"55",13,"Sterna hirundo",2,1
"56",13,"Garrulax canorus",2,1
"57",13,"Cuculus micropterus",2,1
"58",13,"Eophona migratoria",2,1
"59",13,"Lonchura oryzivora",1,1
"60",13,"Dendronanthus indicus",1,1
"61",13,"Ixobrychus eurhythmus",1,1
"62",13,"Colinus virginianus",2,1
"63",13,"Phoebastria immutabilis",2,1
"64",13,"Lonchura maja",1,1
"65",13,"Euplectes orix",1,1
"66",13,"Myiopsitta monachus",1,1
"67",13,"Urocissa caerulea",1,1
"68",13,"Motacilla alba leucopsis",2,1
"69",13,"Paroaria coronata",1,1
"70",13,"Garrulax perspicillatus",2,1
"71",13,"Cerorhinca monocerata",2,1
"72",13,"Coturnicops exquisitus",2,1
"73",26,"Leiothrix lutea",2,1
"74",26,"Apus affinis",2,1
"75",26,"Cygnus atratus",2,1
"76",26,"Anser caerulescens",2,1
"77",26,"Acridotheres tristis",2,1
"78",26,"Cursorius cursor",2,1
"79",26,"Anser indicus",2,1
"80",26,"Threskiornis aethiopicus",2,1
"81",26,"Psittacula eupatria",2,1
"82",26,"Anser albifrons",2,1
"83",26,"Iduna caligata",2,1
"84",26,"Locustella lanceolata",2,1
"85",26,"Cuculus saturatus",2,1
"86",26,"Stercorarius pomarinus",2,1
