"","x"
"1","Syrmaticus reevesii"
"2","Acridotheres cristatellus"
"3","Zosterops japonicus"
"4","Bambusicola thoracicus"
"5","Amandava amandava"
"6","Melopsittacus undulatus"
"7","Paroaria coronata"
"8","Alectoris rufa"
"9","Estrilda astrild"
"10","Chloris chloris"
"11","Branta leucopsis"
"12","Alopochen aegyptiaca"
"13","Passer hispaniolensis"
"14","Cygnus atratus"
"15","Alectoris barbara"
"16","Anser caerulescens"
"17","Acridotheres tristis"
"18","Anser indicus"
"19","Threskiornis aethiopicus"
"20","Alectoris chukar"
"21","Alectoris graeca"
